231209 081625.781|CONFIG|qtp135640095-2278|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
231209 081625.785|INFO|qtp135640095-2278|info|
231209 081625.785|INFO|qtp135640095-2278|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
231209 081625.785|INFO|qtp135640095-2278|info|Login: team118 (aka team118)
231209 081625.785|INFO|qtp135640095-2278|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
231209 081625.785|INFO|qtp135640095-2278|startLog|Process id is 15028@DESKTOP-D75BQTV
231209 081625.785|INFO|qtp135640095-2278|info|Contacting server at localhost:50002 as TEAM118 @ site 0
231209 081625.785|INFO|qtp135640095-2278|info|sendLoginRequest start - sending from TEAM118 @ site 0
231209 081625.785|INFO|qtp135640095-2278|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #102 TEAM118 @ site 0 -> SERVER0 @ site 0
231209 081625.790|INFO|qtp135640095-2278|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #102 TEAM118 @ site 0 -> SERVER0 @ site 0
231209 081625.790|INFO|qtp135640095-2278|info|sendLoginRequest end - packet sent.
231209 081625.790|INFO|Thread-2665|run|send(Serializable)
231209 081625.799|INFO|Thread-2664|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
231209 081625.806|INFO|Thread-2666|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #642 SERVER0 @ site 1 -> TEAM118 @ site 1
231209 081625.806|INFO|Thread-2666|dumpPacket|Packet LOGIN_SUCCESS (Seq #642, o#642 ) recieveObject
231209 081625.806|INFO|Thread-2666|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 081625.806|INFO|Thread-2666|dumpPacket|    To: TEAM118 @ site 1
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@435ad48d
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@4d9d2296
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@49a2bffd
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@ca028ad
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@19cb7b08
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@3d666335
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@61e76e33
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@6c8fd7e2
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@2edef240
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile DryRun--6069080675419338087
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM118 @ site 1
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 081625.806|INFO|Thread-2666|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@20af4365
