221210 125136.110|CONFIG|qtp1613095350-241585|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 125136.110|INFO|qtp1613095350-241585|info|
221210 125136.110|INFO|qtp1613095350-241585|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 125136.110|INFO|qtp1613095350-241585|info|Login: team58 (aka team58)
221210 125136.111|INFO|qtp1613095350-241585|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 125136.111|INFO|qtp1613095350-241585|startLog|Process id is 22344@DESKTOP-D75BQTV
221210 125136.111|INFO|qtp1613095350-241585|info|Contacting server at 212.212.212.212:50002 as TEAM58 @ site 0
221210 125136.111|INFO|qtp1613095350-241585|info|sendLoginRequest start - sending from TEAM58 @ site 0
221210 125136.111|INFO|qtp1613095350-241585|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #987 TEAM58 @ site 0 -> SERVER0 @ site 0
221210 125136.111|INFO|qtp1613095350-241585|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #987 TEAM58 @ site 0 -> SERVER0 @ site 0
221210 125136.111|INFO|qtp1613095350-241585|info|sendLoginRequest end - packet sent.
221210 125136.111|INFO|Thread-250386|run|send(Serializable)
221210 125136.116|INFO|Thread-250385|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
221210 125136.119|INFO|Thread-250387|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #7685 SERVER0 @ site 1 -> TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|Packet LOGIN_SUCCESS (Seq #7685, o#7685 ) recieveObject
221210 125136.119|INFO|Thread-250387|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: Contest-4511288556462302159)
221210 125136.119|INFO|Thread-250387|dumpPacket|    To: TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@62d02e49
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@6c17dc63
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@68284539
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@2d2ad658
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@4e6b07d2
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@1ccd3eb8
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@3666b195
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@4d052917
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@5b46e2f2
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Contest-4511288556462302159
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@2e0b2fdc
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@2d62d991
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@494b10bb
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@25762a12
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@527484af
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@69616121
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@783e6a7e
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1670698296113,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=11,WEEK_OF_YEAR=50,WEEK_OF_MONTH=2,DAY_OF_MONTH=10,DAY_OF_YEAR=344,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=6,HOUR_OF_DAY=18,MINUTE=51,SECOND=36,MILLISECOND=113,ZONE_OFFSET=0,DST_OFFSET=0]
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Contest-4511288556462302159
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@6c0ce9d1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@1a2b5903
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@78214b0e
221210 125136.119|INFO|Thread-250387|info|handlePacket start Packet[LOGIN_SUCCESS] #7685 SERVER0 @ site 1 -> TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|Packet LOGIN_SUCCESS (Seq #7685, o#7685 ) handlePacket
221210 125136.119|INFO|Thread-250387|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: Contest-4511288556462302159)
221210 125136.119|INFO|Thread-250387|dumpPacket|    To: TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@62d02e49
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@6c17dc63
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@68284539
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@2d2ad658
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@4e6b07d2
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@1ccd3eb8
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@3666b195
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@4d052917
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@5b46e2f2
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Contest-4511288556462302159
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM58 @ site 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@2e0b2fdc
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@2d62d991
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@494b10bb
221210 125136.119|INFO|Thread-250387|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@25762a12
