221210 125033.886|CONFIG|Thread-250161|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 125033.886|INFO|Thread-250161|info|
221210 125033.886|INFO|Thread-250161|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 125033.886|INFO|Thread-250161|info|Login: team59 (aka team59)
221210 125033.886|INFO|Thread-250161|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 125033.886|INFO|Thread-250161|startLog|Process id is 22344@DESKTOP-D75BQTV
221210 125033.886|INFO|Thread-250161|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
221210 125033.886|INFO|Thread-250161|info|handlePacket end Packet[LOGIN_SUCCESS] #7680 SERVER0 @ site 1 -> TEAM59 @ site 1
221210 125033.887|INFO|Thread-250161|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #7680 SERVER0 @ site 1 -> TEAM59 @ site 1
221210 125103.279|INFO|qtp1613095350-227413|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #986 TEAM59 @ site 1 -> SERVER0 @ site 1
221210 125103.279|INFO|qtp1613095350-227413|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #986 TEAM59 @ site 1 -> SERVER0 @ site 1
221210 125103.385|INFO|Thread-250164|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #7682 SERVER0 @ site 1 -> TEAM59 @ site 1
221210 125103.385|INFO|Thread-250164|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #7682, o#7682 ) recieveObject
221210 125103.385|INFO|Thread-250164|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: Contest-4511288556462302159)
221210 125103.385|INFO|Thread-250164|dumpPacket|    To: TEAM59 @ site 1
221210 125103.385|INFO|Thread-250164|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 668 NEW 123 min 7425417ms from TEAM59 @ site 1 id Run-3030514387763367024 problem ivy-2452313411198565417 lang Java-8995311559554510087
221210 125103.385|INFO|Thread-250164|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #7682 SERVER0 @ site 1 -> TEAM59 @ site 1
221210 125103.385|INFO|Thread-250164|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #7682, o#7682 ) handlePacket
221210 125103.385|INFO|Thread-250164|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: Contest-4511288556462302159)
221210 125103.385|INFO|Thread-250164|dumpPacket|    To: TEAM59 @ site 1
221210 125103.385|INFO|Thread-250164|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 668 NEW 123 min 7425417ms from TEAM59 @ site 1 id Run-3030514387763367024 problem ivy-2452313411198565417 lang Java-8995311559554510087
221210 125103.385|INFO|Thread-250164|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #7682 SERVER0 @ site 1 -> TEAM59 @ site 1
